gene_name,functional,allele_name
TRAJ2,F,TRAJ2*01
TRAJ2,,TRAJ2*02
TRAJ3,ORF,TRAJ3*01
TRAJ4,ORF,TRAJ4*01
TRAJ5,F,TRAJ5*01
TRAJ6,F,TRAJ6*01
TRAJ7,ORF,TRAJ7*01
TRAJ9,F,TRAJ9*01
TRAJ9,(F),TRAJ9*02
TRAJ11,F,TRAJ11*01
TRAJ12,F,TRAJ12*01
TRAJ13,F,TRAJ13*01
TRAJ15,F,TRAJ15*01
TRAJ16,F,TRAJ16*01
TRAJ17,F,TRAJ17*01
TRAJ18,F,TRAJ18*01
TRAJ19,ORF,TRAJ19*01
TRAJ20,ORF,TRAJ20*01
TRAJ21,F,TRAJ21*01
TRAJ21,(F),TRAJ21*02
TRAJ22,F,TRAJ22*01
TRAJ23,F,TRAJ23*01
TRAJ24,F,TRAJ24*01
TRAJ25,ORF,TRAJ25*01
TRAJ26,F(1),TRAJ26*01
TRAJ27,F,TRAJ27*01
TRAJ28,F,TRAJ28*01
TRAJ29,ORF,TRAJ29*01
TRAJ30,F,TRAJ30*01
TRAJ31,F,TRAJ31*01
TRAJ32,F,TRAJ32*01
TRAJ33,F,TRAJ33*01
TRAJ34,F,TRAJ34*01
TRAJ34,(F),TRAJ34*02
TRAJ35,F,TRAJ35*01
TRAJ35,F,TRAJ35*02
TRAJ37,F,TRAJ37*01
TRAJ38,F,TRAJ38*01
TRAJ39,F,TRAJ39*01
TRAJ40,F,TRAJ40*01
TRAJ41,ORF,TRAJ41*01
TRAJ42,F,TRAJ42*01
TRAJ42,(F),TRAJ42*02
TRAJ43,F,TRAJ43*01
TRAJ43,(F),TRAJ43*02
TRAJ44,ORF,TRAJ44*01
TRAJ45,F,TRAJ45*01
TRAJ46,ORF,TRAJ46*01
TRAJ47,ORF,TRAJ47*01
TRAJ48,F,TRAJ48*01
TRAJ49,F,TRAJ49*01
TRAJ50,F,TRAJ50*01
TRAJ52,F,TRAJ52*01
TRAJ53,F,TRAJ53*01
TRAJ56,F,TRAJ56*01
TRAJ57,F,TRAJ57*01
TRAJ58,F,TRAJ58*01
TRAJ59,ORF,TRAJ59*01
